Name,ID,Species,Forme,Type1,Type2,Ability1,Ability2,AbilityH,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Weight,Height,Dex1,Dex2,Class,%Male,%Female,Pre-Evolution,Egg Group 1,Egg Group 2,Type Concat,Ability Concat,,HP,ATK,DEF,SP_ATK,SP_DEF,SPEED,TOTAL
Butterfree,12,Butterfree,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,395,70.5 lbs.,"3'07""",Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other PokÃ©mon, it defends itself by scattering its poisonous scales and fluttering its wings.",Butterfly,0.5,0.5,Metapod,Bug,,Bug / Flying,Compound Eyes / Tinted Lens*,,30,23,25,45,40,35,198
Weedle,13,Weedle,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,195,7.1 lbs.,"1'00""",,,Hairy Bug,0.5,0.5,,Bug,,Bug / Poison,Shield Dust / Run Away*,,20,18,15,10,10,25,98
Kakuna,14,Kakuna,Kakuna,Bug,Poison,Shed Skin,Shed Skin,,45,25,50,25,25,35,205,22.0 lbs.,"2'00""",,,Cocoon,0.5,0.5,Weedle,Bug,,Bug / Poison,Shed Skin,,23,13,25,13,13,18,103
Beedrill,15,Beedrill,Beedrill,Bug,Poison,Swarm,Swarm,Sniper,65,90,40,45,80,75,395,65.0 lbs.,"3'03""",,,Poison Bee,0.5,0.5,Kakuna,Bug,,Bug / Poison,Swarm / Sniper*,,33,45,20,23,40,38,198
Pidgey,16,Pidgey,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,4.0 lbs.,"1'00""",,,Tiny Bird,0.5,0.5,,Flying,,Normal / Flying,Keen Eye / Tangled Feet / Big Pecks*,,20,23,20,18,18,28,126
Pidgeotto,17,Pidgeotto,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,66.1 lbs.,"3'07""",,,Bird,0.5,0.5,Pidgey,Flying,,Normal / Flying,Keen Eye / Tangled Feet / Big Pecks*,,32,30,28,25,25,36,175
Pidgeot,18,Pidgeot,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,87.1 lbs.,"4'11""",,,Bird,0.5,0.5,Pidgeotto,Flying,,Normal / Flying,Keen Eye / Tangled Feet / Big Pecks*,,42,40,38,35,35,51,240
Rattata,19,Rattata,Rattata,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,7.7 lbs.,"1'00""","Its incisors continue growing until its death. If its Trainer doesnâ€™t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",Mouse,0.5,0.5,,Field,,Normal,Run Away / Guts / Hustle*,,15,28,18,13,18,36,127
Raticate,20,Raticate,Raticate,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,40.8 lbs.,"2'04""","Its hind feet are webbed, so itâ€™s a strong swimmer. It can cross rivers and sometimes even oceans.","Its disposition is far more violent than its looks would suggest. Donâ€™t let your hand get too close to its face, as it could bite your hand clean off.",Mouse,0.5,0.5,Rattata,Field,,Normal,Run Away / Guts / Hustle*,,28,41,30,25,35,49,207
Spearow,21,Spearow,Spearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,40,60,30,31,31,70,262,4.4 lbs.,"1'00""",Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type PokÃ©mon in the tall grass.,Farmers whose fields are troubled by bug PokÃ©mon appreciate Spearow for its vigorous appetite and look after it.,Tiny Bird,0.5,0.5,,Flying,,Normal / Flying,Keen Eye / Sniper*,,20,30,15,16,16,35,131
Fearow,22,Fearow,Fearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,65,90,65,61,61,100,442,83.8 lbs.,"3'11""",Itâ€™s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,Drawings of a PokÃ©mon resembling Fearow can be seen in murals from deep in ancient history.,Beak,0.5,0.5,Spearow,Flying,,Normal / Flying,Keen Eye / Sniper*,,33,45,33,31,31,50,221
Ekans,23,Ekans,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,15.2 lbs.,"6'07""",,,Snake,0.5,0.5,,Field,Dragon,Poison,Intimidate / Shed Skin / Unnerve*,,18,30,22,20,27,28,144
Arbok,24,Arbok,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,143.3 lbs.,"11'06""",,,Cobra,0.5,0.5,Ekans,Field,Dragon,Poison,Intimidate / Shed Skin / Unnerve*,,30,48,35,33,40,40,224
Pikachu,25,Pikachu,Pikachu,Electric,,Static,Static,Lightning Rod,35,55,40,50,50,90,320,13.2 lbs.,"1'04""",A plan was recently announced to gather many Pikachu and make an electric power plant.,Itâ€™s in its nature to store electricity. It feels stressed now and then if itâ€™s unable to fully discharge the electricity.,Mouse,0.5,0.5,Pichu,Field,Fairy,Electric,Static / Lightning Rod*,,18,28,20,25,25,45,160
Raichu,26,Raichu,Raichu,Electric,,Static,Static,Lightning Rod,60,90,55,90,80,110,485,66.1 lbs.,"2'07""","It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.","It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.",Mouse,0.5,0.5,Pikachu,Field,Fairy,Electric,Static / Lightning Rod*,,30,45,28,45,40,55,243
Sandshrew,27,Sandshrew,Sandshrew,Ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,300,26.5 lbs.,"2'00""",It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type PokÃ©mon.",Mouse,0.5,0.5,,Field,,Ground,Sand Veil / Sand Rush*,,25,38,43,10,15,20,150
Sandslash,28,Sandslash,Sandslash,Ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,450,65.0 lbs.,"3'03""","Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.",Mouse,0.5,0.5,Sandshrew,Field,,Ground,Sand Veil / Sand Rush*,,38,50,55,23,28,33,225
Nidoran-F,29,Nidoran-F,Nidoranâ™€,Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,15.4 lbs.,"1'04""",,,Poison Pin,0,1,,Monster,Field,Poison,Poison Point / Rivalry / Hustle*,,28,24,26,20,20,21,138
Nidorina,30,Nidorina,Nidorina,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,44.1 lbs.,"2'07""",,,Poison Pin,0,1,Nidoranâ™€,Undiscovered,,Poison,Poison Point / Rivalry / Hustle*,,35,31,34,28,28,28,183
Nidoqueen,31,Nidoqueen,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,132.3 lbs.,"4'03""",,,Drill,0,1,Nidorina,Undiscovered,,Poison / Ground,Poison Point / Rivalry / Sheer Force*,,45,46,44,38,43,38,253
Nidoran-M,32,Nidoran-M,Nidoranâ™‚,Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,19.8 lbs.,"1'08""",,,Poison Pin,1,0,,Monster,Field,Poison,Poison Point / Rivalry / Hustle*,,23,29,20,20,20,25,137
Nidorino,33,Nidorino,Nidorino,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,43.0 lbs.,"2'11""",,,Poison Pin,1,0,Nidoranâ™‚,Monster,Field,Poison,Poison Point / Rivalry / Hustle*,,31,36,29,28,28,33,183
Nidoking,34,Nidoking,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,136.7 lbs.,"4'07""",,,Drill,1,0,Nidorino,Monster,Field,Poison / Ground,Poison Point / Rivalry / Sheer Force*,,41,51,39,43,38,43,253
Clefairy,35,Clefairy,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,16.5 lbs.,"2'00""","Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.","On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Fairy,0.25,0.75,Cleffa,Fairy,,Fairy,Cute Charm / Magic Guard / Friend Guard*,,35,23,24,30,33,18,162
Clefable,36,Clefable,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,88.2 lbs.,"4'03""",They donâ€™t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.",Fairy,0.25,0.75,Clefairy,Fairy,,Fairy,Cute Charm / Magic Guard / Unaware*,,48,35,37,48,45,30,242
Vulpix,37,Vulpix,Vulpix,Fire,,Flash Fire,,Drought,38,41,40,50,65,65,299,21.8 lbs.,"2'00""","Its beautiful fur and tails have made it very popular. As it grows, its tails split to more tails.",From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,Fox,0.25,0.75,,Field,,Fire,Flash Fire / Drought*,,19,21,20,25,33,33,150
Ninetales,38,Ninetales,Ninetales,Fire,,Flash Fire,,Drought,73,76,75,81,100,100,505,43.9 lbs.,"3'07""",Legend has it that this mystical PokÃ©mon wased when nine saints coalesced into one.,"Said to live for a thousand years, this PokÃ©mon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",Fox,0.25,0.75,Vulpix,Field,,Fire,Flash Fire / Drought*,,37,38,38,41,50,50,253
Jigglypuff,39,Jigglypuff,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,12.1 lbs.,"1'08""","It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, youâ€™ll become sleepy right away.","Jigglypuff possess a vocal range that exceeds 12 octaves, but each individualâ€™s singing skill depends on its own effort.",Balloon,0.25,0.75,Igglybuff,Fairy,,Normal / Fairy,Cute Charm / Competitive / Friend Guard*,,58,23,10,23,13,10,135
Wigglytuff,40,Wigglytuff,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,26.5 lbs.,"3'03""",It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.",Balloon,0.25,0.75,Jigglypuff,Fairy,,Normal / Fairy,Cute Charm / Competitive / Frisk*,,70,35,23,43,25,23,218
Zubat,41,Zubat,Zubat,Poison,Flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,16.5 lbs.,"2'07""","It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.","When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.",Bat,0.5,0.5,,Flying,,Poison / Flying,Inner Focus / Infiltrator*,,20,23,18,15,20,28,123
Golbat,42,Golbat,Golbat,Poison,Flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,121.3 lbs.,"5'03""","Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.","Sometimes they drink so much blood, they canâ€™t fly anymore. Then they fall to the ground and become food for other PokÃ©mon.",Bat,0.5,0.5,Zubat,Flying,,Poison / Flying,Inner Focus / Infiltrator*,,38,40,35,33,38,45,228
Oddish,43,Oddish,Oddish,Grass,Poison,Chlorophyll,,Run Away,45,50,55,75,65,30,320,11.9 lbs.,"1'08""",,,Weed,0.5,0.5,,Grass,,Grass / Poison,Chlorophyll / Run Away*,,23,25,28,38,33,15,160
Gloom,44,Gloom,Gloom,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,19.0 lbs.,"2'07""",,,Weed,0.5,0.5,Oddish,Grass,,Grass / Poison,Chlorophyll / Stench*,,30,33,35,43,38,20,198
Vileplume,45,Vileplume,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,41.0 lbs.,"3'11""",,,Flower,0.5,0.5,Gloom,Grass,,Grass / Poison,Chlorophyll / Effect Spore*,,38,40,43,55,45,25,245
Paras,46,Paras,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,11.9 lbs.,"1'00""","No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,Mushroom,0.5,0.5,,Bug,Grass,Bug / Grass,Effect Spore / Dry Skin / Damp*,,18,35,28,23,28,13,143
Parasect,47,Parasect,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,65.0 lbs.,"3'03""",The large mushroom on its back controls it. It often fights over territory with Shiinotic.,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",Mushroom,0.5,0.5,Paras,Bug,Grass,Bug / Grass,Effect Spore / Dry Skin / Damp*,,30,48,40,30,40,15,203
Venonat,48,Venonat,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,66.1 lbs.,"3'03""",,,Insect,0.5,0.5,,Bug,,Bug / Poison,Compound Eyes / Tinted Lens / Run Away*,,30,28,25,20,28,23,153
Venomoth,49,Venomoth,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,27.6 lbs.,"4'11""",,,Poison Moth,0.5,0.5,Venonat,Bug,,Bug / Poison,Shield Dust / Tinted Lens / Wonder Skin*,,35,33,30,45,38,45,225
Diglett,50,Diglett,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1.8 lbs.,"0'08""",It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,Mole,0.5,0.5,,Field,,Ground,Sand Veil / Arena Trap / Sand Force*,,5,28,13,18,23,48,133
Dugtrio,51,Dugtrio,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,73.4 lbs.,"2'04""",This set of triplets moves cooperatively. Itâ€™s the power of teamwork that enables this PokÃ©mon to dig to a depth of 60 miles.,"Despite the closeness between this PokÃ©mon and farmers and other people, no one has ever seen the parts of it concealed underground.",Mole,0.5,0.5,Diglett,Field,,Ground,Sand Veil / Arena Trap / Sand Force*,,18,50,25,25,35,60,213
Meowth,52,Meowth,Meowth,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,9.3 lbs.,"1'04""","It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.",It loves shiny things. It often fights with Murkrow over prey theyâ€™re both trying to catch.,Scratch Cat,0.5,0.5,,Field,,Normal,Pickup / Technician / Unnerve*,,20,23,18,20,20,45,145
Persian,53,Persian,Persian,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,70.5 lbs.,"3'03""",It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. Itâ€™s quite difficult to make friends with this PokÃ©mon.",Classy Cat,0.5,0.5,Meowth,Field,,Normal,Limber / Technician / Unnerve*,,33,35,30,33,33,58,220
Psyduck,54,Psyduck,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,43.2 lbs.,"2'07""","As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","This PokÃ©mon is troubled by constant headaches. The more pain itâ€™s in, the more powerful its psychokinesis becomes.",Duck,0.5,0.5,,Water 1,Field,Water,Damp / Cloud Nine / Swift Swim*,,25,26,24,33,25,28,160
Golduck,55,Golduck,Golduck,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,168.9 lbs.,"5'07""","It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",It swims along the banks of lakes and catches fish PokÃ©mon. It takes them to the shore and quietly eats them up.,Duck,0.5,0.5,Psyduck,Water 1,Field,Water,Damp / Cloud Nine / Swift Swim*,,40,41,39,48,40,43,250
Mankey,56,Mankey,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,61.7 lbs.,"1'08""","It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake upâ€”which infuriates it all over again.",Pig Monkey,0.5,0.5,,Field,,Fighting,Vital Spirit / Anger Point / Defiant*,,20,40,18,18,23,35,153
Primeape,57,Primeape,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,70.5 lbs.,"3'03""","It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.",Some researchers theorize that Primeape remains angry even when inside a PokÃ© Ball.,Pig Monkey,0.5,0.5,Mankey,Field,,Fighting,Vital Spirit / Anger Point / Defiant*,,33,53,30,30,35,48,228
Growlithe,58,Growlithe,Growlithe,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,41.9 lbs.,"2'04""","Itâ€™s both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","It looks cute, but when you approach another Trainerâ€™s Growlithe, it will bark at you and bite.",Puppy,0.75,0.25,,Field,,Fire,Intimidate / Flash Fire / Justified*,,28,35,23,35,25,30,175
Arcanine,59,Arcanine,Arcanine,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,341.7 lbs.,"6'03""","Overflowing with beauty and majesty, this strong PokÃ©mon appears in ancient Eastern folklore.",The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,Legendary,0.75,0.25,Growlithe,Field,,Fire,Intimidate / Flash Fire / Justified*,,45,55,40,50,40,48,278
Poliwag,60,Poliwag,Poliwag,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,27.3 lbs.,"2'00""","The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means itâ€™s affected by some disease.",Itâ€™s still not very good at walking. Its Trainers should train this PokÃ©mon to walk every day.,Tadpole,0.5,0.5,,Water 1,,Water,Water Absorb / Damp / Swift Swim*,,20,25,20,20,20,45,150
Poliwhirl,61,Poliwhirl,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,44.1 lbs.,"3'03""","Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.",It marches over the land in search of bug PokÃ©mon to eat. Then it takes them underwater so it can dine on them where itâ€™s safe.,Tadpole,0.5,0.5,Poliwag,Water 1,,Water,Water Absorb / Damp / Swift Swim*,,33,33,33,25,25,45,193
Poliwrath,62,Poliwrath,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,119.0 lbs.,"4'03""",Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.,"Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.",Tadpole,0.5,0.5,Poliwhirl,Water 1,,Water / Fighting,Water Absorb / Damp / Swift Swim*,,45,48,48,35,45,35,255
Abra,63,Abra,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,43.0 lbs.,"2'11""","It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.","It can teleport itself to safety while itâ€™s asleep, but when it wakes, it doesnâ€™t know where it is, so it panics.",Psi,0.75,0.25,,Human-Like,,Psychic,Synchronize / Inner Focus / Magic Guard*,,13,10,8,53,28,45,155
Kadabra,64,Kadabra,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,124.6 lbs.,"4'03""",A theory exists that this PokÃ©mon was a young boy who couldnâ€™t control his psychic powers and ended up transformed into this PokÃ©mon.,Kadabraâ€™s presence infests televisions and monitors with creepy shadows that bring bad luck.,Psi,0.75,0.25,Abra,Human-Like,,Psychic,Synchronize / Inner Focus / Magic Guard*,,20,18,15,60,35,53,200
Alakazam,65,Alakazam,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,105.8 lbs.,"4'11""","It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.","Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",Psi,0.75,0.25,Kadabra,Human-Like,,Psychic,Synchronize / Inner Focus / Magic Guard*,,28,25,23,68,48,60,250
Machop,66,Machop,Machop,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,43.0 lbs.,"2'07""","It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","With its superhuman strength, itâ€™s able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.",Superpower,0.75,0.25,,Human-Like,,Fighting,Guts / No Guard / Steadfast*,,35,40,25,18,18,18,153
Machoke,67,Machoke,Machoke,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,155.4 lbs.,"4'11""","As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.",It willingly assists with hard labor because it knows the work is good training for its muscles.,Superpower,0.75,0.25,Machop,Human-Like,,Fighting,Guts / No Guard / Steadfast*,,40,50,35,25,30,23,203
Machamp,68,Machamp,Machamp,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,286.6 lbs.,"5'03""",It unleashes megaton-level punches that send opponents flying clear over the horizon.,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,Superpower,0.75,0.25,Machoke,Human-Like,,Fighting,Guts / No Guard / Steadfast*,,45,65,40,33,43,28,253
Bellsprout,69,Bellsprout,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,300,8.8 lbs.,"2'04""",,,Flower,0.5,0.5,,Grass,,Grass / Poison,Chlorophyll / Gluttony*,,25,38,18,35,15,20,150
Weepinbell,70,Weepinbell,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,390,14.1 lbs.,"3'03""",,,Flycatcher,0.5,0.5,Bellsprout,Grass,,Grass / Poison,Chlorophyll / Gluttony*,,33,45,25,43,23,28,195
Victreebel,71,Victreebel,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,490,34.2 lbs.,"5'07""",,,Flycatcher,0.5,0.5,Weepinbell,Grass,,Grass / Poison,Chlorophyll / Gluttony*,,40,53,33,50,35,35,245
Tentacool,72,Tentacool,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,100.3 lbs.,"2'11""","They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.","It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.",Jellyfish,0.5,0.5,,Water 3,,Water / Poison,Clear Body / Liquid Ooze / Rain Dish*,,20,20,18,25,50,35,168
Tentacruel,73,Tentacruel,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,121.3 lbs.,"5'03""","Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.","Although these PokÃ©mon are rare, when a large outbreak of them occurs, all fish PokÃ©mon disappear from the surrounding sea.",Jellyfish,0.5,0.5,Tentacool,Water 3,,Water / Poison,Clear Body / Liquid Ooze / Rain Dish*,,40,35,33,40,60,50,258
Geodude,74,Geodude,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,44.1 lbs.,"1'04""","Its round body makes it easy to pick up, but it is hard and heavy. Itâ€™s dangerous to play with them as if they were snowballs.",There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,Rock,0.5,0.5,,Mineral,,Rock / Ground,Rock Head / Sturdy / Sand Veil*,,20,40,50,15,15,10,150
